County,"April 1, 2020 Census Base","July 1, 2020","July 1, 2021","July 1, 2022","July 1, 2023"
Perquimans," 13,008 "," 13,014 "," 13,030 "," 13,113 "," 13,278 "
Person," 39,088 "," 39,065 "," 38,994 "," 39,109 "," 39,461 "
Pitt," 170,242 "," 171,103 "," 173,685 "," 173,694 "," 174,842 "
Polk," 19,335 "," 19,370 "," 19,473 "," 19,583 "," 19,742 "
Randolph," 144,147 "," 143,899 "," 143,156 "," 144,587 "," 146,496 "
Richmond," 42,948 "," 42,958 "," 42,987 "," 42,592 "," 42,068 "
Robeson," 116,514 "," 116,310 "," 115,698 "," 116,222 "," 116,438 "
Rockingham," 91,104 "," 90,910 "," 90,328 "," 91,541 "," 92,416 "
Rowan," 146,884 "," 147,296 "," 148,531 "," 150,667 "," 152,450 "
Rutherford," 64,446 "," 64,286 "," 63,807 "," 64,087 "," 64,692 "
Sampson," 59,042 "," 58,849 "," 58,268 "," 58,804 "," 59,514 "
Scotland," 34,177 "," 34,069 "," 33,745 "," 33,651 "," 33,567 "
Stanly," 62,505 "," 62,402 "," 62,091 "," 63,292 "," 64,999 "
Stokes," 44,524 "," 44,486 "," 44,372 "," 45,171 "," 45,493 "
Surry," 71,367 "," 71,158 "," 70,531 "," 71,201 "," 71,774 "
Swain," 14,117 "," 14,096 "," 14,034 "," 13,870 "," 13,827 "
Transylvania," 32,984 "," 32,943 "," 32,818 "," 32,927 "," 33,193 "
Tyrrell," 3,249 "," 3,268 "," 3,326 "," 3,470 "," 3,480 "
Union," 238,234 "," 239,925 "," 244,996 "," 250,810 "," 257,682 "
Vance," 42,569 "," 42,338 "," 41,645 "," 41,307 "," 41,263 "
Wake," 1,129,352 "," 1,135,576 "," 1,154,249 "," 1,171,082 "," 1,194,900 "
Warren," 18,639 "," 18,633 "," 18,614 "," 18,713 "," 18,615 "
Washington," 11,004 "," 10,929 "," 10,703 "," 10,575 "," 10,548 "
Watauga," 54,077 "," 54,271 "," 54,851 "," 54,744 "," 54,972 "
Wayne," 117,321 "," 116,930 "," 115,757 "," 116,353 "," 117,748 "
Wilkes," 65,973 "," 65,748 "," 65,072 "," 65,528 "," 65,987 "
Wilson," 78,789 "," 78,859 "," 79,067 "," 78,585 "," 78,792 "
Yadkin," 37,216 "," 37,138 "," 36,904 "," 37,314 "," 37,722 "
Yancey," 18,474 "," 18,432 "," 18,305 "," 18,375 "," 18,524 "
State of North Carolina," 10,439,539 "," 10,472,893 "," 10,573,149 "," 10,702,014 "," 10,846,274 "
